fuel,unit,summary_stat,subsample,summary_time,time_period,segmentation_variable_1,segment_1_value,value,n_sample,n_statistic,mean_temp,mean_hdd,decimal_places,weekday_weekend,mean_floor_area,n_mean_floor_area,mean_bedrooms,n_mean_bedrooms,mean_occupants,n_mean_occupants
Net Electricity,kWh,mean,all,2021,2021,None,None,9.823,10764.0,10764.0,10.378,5.74,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Net Electricity,kWh,standard deviation,all,2021,2021,None,None,7.7,10764.0,10764.0,10.378,5.74,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Net Electricity,kWh,median,all,2021,2021,None,None,8.168,10764.0,10.0,10.378,5.74,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Net Electricity,kWh,75th percentile,all,2021,2021,None,None,12.212,10764.0,10.0,10.378,5.74,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Net Electricity,kWh,25th percentile,all,2021,2021,None,None,5.415,10764.0,10.0,10.378,5.74,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Gas,kWh,mean,all,2021,2021,None,None,38.677,7962.0,7962.0,10.414000000000001,5.711,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Gas,kWh,standard deviation,all,2021,2021,None,None,22.359,7962.0,7962.0,10.414000000000001,5.711,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Gas,kWh,median,all,2021,2021,None,None,34.842,7962.0,10.0,10.414000000000001,5.711,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Gas,kWh,75th percentile,all,2021,2021,None,None,48.21,7962.0,10.0,10.414000000000001,5.711,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Gas,kWh,25th percentile,all,2021,2021,None,None,24.125,7962.0,10.0,10.414000000000001,5.711,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Net Electricity,kWh,mean,all,heating_season_2020_2021,heating_season_2020_2021,None,None,11.754000000000001,3749.0,3749.0,8.667,7.068,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Net Electricity,kWh,standard deviation,all,heating_season_2020_2021,heating_season_2020_2021,None,None,9.857000000000001,3749.0,3749.0,8.667,7.068,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
Net Electricity,kWh,median,all,heating_season_2020_2021,heating_season_2020_2021,None,None,9.241,3749.0,10.0,8.667,7.068,3.0,both,95.55154655376131,7617.0,2.9189509439924164,12659.0,2.2773861386138607,12625.0
